PERMIT NUMBER,PERMIT TYPE,PERMIT STATUS,PERMIT SUB-TYPE,WORK DESCRIPTION,PERMIT ISSUE DATE,ESTIMATED VALUE OF WORK,STATE VALUATION,CONTRACTOR,LOCATION,COUNT
M 15-007376-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"2515 BEVERLY ROAD
Saint Paul, MN
(44.958301, -93.204916)",1
M 15-008086-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"THURSDAY, FEBRUARY 05, 2015",$8400.00,,NICK STECKHAHN AABBOTT/FERRARO HTG,"1036 MAGNOLIA AVE E
Saint Paul, MN
(44.973922, -93.056766)",1
M 15-006424-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$2000.00,,JAMES LARSON LARSON PLUMBING & HEATING,"709 YORK AVE - To be wrecked
Saint Paul, MN
(44.96846, -93.070562)",1
PG 15-007838-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$200.00,,KEITH HOLL HOLL-TEC INSTALLATION LLC,"932 WILDER ST S
Saint Paul, MN
(44.913517, -93.18415)",1
PG 15-008023-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"1844 MUNSTER AVE
Saint Paul, MN
(44.899859, -93.178316)",1
PG 15-007866-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Alter,"THURSDAY, FEBRUARY 05, 2015",$1500.00,,Anne M Thom,"1355 VICTORIA ST N
Saint Paul, MN
(44.981844, -93.136062)",1
PG 15-008080-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Commercial Replace,"THURSDAY, FEBRUARY 05, 2015",$500.00,,RON ERICKSON ERICKSON PLUMBING HEATING COOLING INC,"1950 BURNS AVE
Saint Paul, MN
(44.948659, -93.017429)",1
W 15-007732-GSM,"Warm Air, Ventilation & General Sheet ",Active/Issued,General Sheet Metal,Commercial Repair/Alter,"THURSDAY, FEBRUARY 05, 2015",$1600.00,,STANDARD WATER CONTROL SYSTEMS INC,"1201 WILSON AVE
Saint Paul, MN
(44.954092, -93.050119)",1
W 15-008376-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$3172.00,,WALTER BONFE BONFES PLBG & HTG INC,"811 GABRIEL ROAD
Saint Paul, MN
(44.917048, -93.008756)",1
W 15-008054-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"THURSDAY, FEBRUARY 05, 2015",$200.00,,GREG HENNINGSEN G HVAC LLC,"250 STONEBRIDGE BLVD
Saint Paul, MN
(44.933942, -93.19492)",1
W 15-008209-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$6750.00,,STEVE KUZJ PERFECTION HTG & A/C,"692 ARMSTRONG AVE
Saint Paul, MN
(44.925045, -93.129084)",1
W 15-008429-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential Replace,"THURSDAY, FEBRUARY 05, 2015",$1500.00,,BENJAMIN STERN STERN HEATING & COOLING INC,"860 BEECH ST
Saint Paul, MN
(44.962147, -93.064347)",1
B 15-010177-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"THURSDAY, FEBRUARY 12, 2015",$18750.00,$18750.00,REGAL REMODELERS INC,"976 MCLEAN AVE
Saint Paul, MN
(44.950404, -93.059207)",1
B 15-005132-REM,Building Permit,Inspected,Commercial,Remodel,"THURSDAY, FEBRUARY 12, 2015",$35000.00,$35000.00,JGM PROPERTIES INC,"393 DUNLAP ST N - THE APOTHECARY SHOP
Saint Paul, MN
(44.952881, -93.149176)",1
B 15-008044-RPR,Building Permit,Inspected,Residential (Multi-Fam),Repair,"THURSDAY, FEBRUARY 12, 2015",$2056000.00,$2056000.00,GREINER CONSTRUCTION INC,"250 6TH ST E
Saint Paul, MN
(44.950189, -93.08749)",1
B 15-010131-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"THURSDAY, FEBRUARY 12, 2015",$10000.00,$10000.00,RIVER VIEW CONSTRUCTION OF THE ST CROIX VALLEY INC,"1631 WATSON AVE
Saint Paul, MN
(44.92427, -93.169231)",1
B 15-010140-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"THURSDAY, FEBRUARY 12, 2015",$23800.00,$23800.00,TRANSFORMED TREE INC,"2380 BUFORD AVE
Saint Paul, MN
(44.984441, -93.200625)",1
B 15-010175-REM,Building Permit,Inspected,2-Family/Duplex,Remodel,"THURSDAY, FEBRUARY 12, 2015",$35000.00,$35000.00,REGAL REMODELERS INC,"1195 LINCOLN AVE
Saint Paul, MN
(44.938916, -93.150652)",1
E 15-000237-TBL,Electrical Permit,Active/Issued,Unit Table Only,Commercial Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$300.00,,"Joel Ludwig Anisia Lighting Services, Inc.","786 7TH ST E - 7TH &amp; HOPE ORIENTAL STORE
Saint Paul, MN
(44.96086, -93.068044)",1
E 15-006277-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Commercial Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$450.00,,Maureen Booth Harris Companies,"1414 DALE ST N - Parish Offices
Saint Paul, MN
(44.983669, -93.126231)",1
E 15-010003-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$3000.00,,MISTER SPARKY MINNEAPOLIS MN,"1290 MAYWOOD ST
Saint Paul, MN
(44.979989, -93.127559)",1
E 15-010079-ELC,Electrical Permit,Inspected,Electrical,Commercial Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$4700.00,,Jennifer Stone Cal Tex Electric Inc,"976 CONCORDIA AVE - ATTUCKS-BROOKS AMERICAN LEGION POST #606
Saint Paul, MN
(44.951263, -93.141282)",1
E 15-010169-S&C,Electrical Permit,Inspected,Service & Circuits ,Commercial Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$600.00,,Mr Doug Ruiz TRIUMPH ELECTRICAL SERVICES INC,"1067 HUDSON ROAD - MOUNDS PARK LOUNGE
Saint Paul, MN
",1
E 15-010187-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$500.00,,Randy Smith RANDY SMITHS ELECTRIC,"1174 SEMINARY AVE
Saint Paul, MN
(44.964793, -93.149806)",1
E 15-010270-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$2800.00,,American Electric Inc,"290 DAYTON AVE - SUSAN ROGERS
Saint Paul, MN
(44.94738, -93.112153)",1
M 15-008368-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$3172.00,,WALTER BONFE BONFES PLBG & HTG INC,"811 GABRIEL ROAD
Saint Paul, MN
(44.917048, -93.008756)",1
M 15-008981-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1000.00,,JAMES BOEHM BOEHM HEATING CO,"1521 CARROLL AVE
Saint Paul, MN
(44.95022, -93.164243)",1
M 15-008985-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$4000.00,,JAMES BOEHM BOEHM HEATING CO,"1521 CARROLL AVE
Saint Paul, MN
(44.95022, -93.164243)",1
M 15-009253-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1000.00,,JAMES BOEHM BOEHM HEATING CO,"2360 BAYLESS PLACE
Saint Paul, MN
(44.968589, -93.199856)",1
M 15-009257-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$3900.00,,JAMES BOEHM BOEHM HEATING CO,"2360 BAYLESS PLACE
Saint Paul, MN
(44.968589, -93.199856)",1
M 15-007974-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$3000.00,,GREGORY RYAN RYAN PLUMBING & HEATING CO,"1525 CHARLES AVE
Saint Paul, MN
(44.957453, -93.164905)",1
M 15-008184-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$5000.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"265 BURLINGTON ROAD
Saint Paul, MN
(44.930975, -93.013312)",1
M 15-008425-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1500.00,,BENJAMIN STERN STERN HEATING & COOLING INC,"860 BEECH ST
Saint Paul, MN
(44.962147, -93.064347)",1
M 15-008443-GAS,Mechanical Permit,Inspected,Gas,Commercial Replace,"THURSDAY, FEBRUARY 12, 2015",$10000.00,,LYNN BISHOP NAC MECHANICAL & ELECTRICAL SERVICES,"355 8TH ST E
Saint Paul, MN
(44.95324, -93.08578)",1
M 15-008900-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1500.00,,JODI SUPER SUPER HEATING AND COOLING,"1890 SUMMIT AVE
Saint Paul, MN
(44.941363, -93.180159)",1
M 15-008901-FIR,Mechanical Permit,Inspected,Factory Built Fireplace,Residential Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$1500.00,,JODI SUPER SUPER HEATING AND COOLING,"1890 SUMMIT AVE
Saint Paul, MN
(44.941363, -93.180159)",1
M 15-009740-STM,Mechanical Permit,Inspected,Steam or Hot Water,Commercial Repair/Alter,"THURSDAY, FEBRUARY 12, 2015",$112823.00,,JOHN DEBLON YALE MECHANICAL INC,"916 RICE ST
Saint Paul, MN
(44.968841, -93.105947)",1
M 15-009752-GAS,Mechanical Permit,Inspected,Gas,Commercial Replace,"THURSDAY, FEBRUARY 12, 2015",$2200.00,,JOHN DEBLON YALE MECHANICAL INC,"916 RICE ST
Saint Paul, MN
(44.968841, -93.105947)",1
PG 15-009456-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$200.00,,KEITH HOLL HOLL-TEC INSTALLATION LLC,"159 MOUNT AIRY ST - Mount Airy Public Housing
Saint Paul, MN
",1
PG 15-009457-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$200.00,,KEITH HOLL HOLL-TEC INSTALLATION LLC,"2160 LINCOLN AVE
Saint Paul, MN
(44.939027, -93.191546)",1
PG 15-009722-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$200.00,,KEITH HOLL HOLL-TEC INSTALLATION LLC,"2117 PALACE AVE
Saint Paul, MN
(44.928884, -93.189722)",1
PG 15-009827-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$500.00,,TROY GOOD CHAMPION PLUMBING LLC,"699 OHIO ST
Saint Paul, MN
(44.924919, -93.097675)",1
PG 15-009983-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$850.00,,"JACOB REYNOLDS RESOURCE PLUMBING, HEATING AND AIR","1057 RYDE ST
Saint Paul, MN
(44.972953, -93.139482)",1
PG 15-009597-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1200.00,,RICHARD PETERSON CITIES 1 PLUMBING AND HEATING INC,"38 WINONA ST W
Saint Paul, MN
(44.921406, -93.086935)",1
PG 15-009774-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$2500.00,,DUANE FARR FARR PLUMBING & HEATING LLC,"220 WINONA ST E
Saint Paul, MN
(44.921319, -93.076012)",1
PG 15-009906-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$4680.00,,GEORGE DINIUS DINIUS PLUMBING COMPANY,"752 OSCEOLA AVE
Saint Paul, MN
(44.935683, -93.131917)",1
PG 15-009924-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$7500.00,,ROBERT WYLLIE WYLLIE PLUMBING,"288 FORBES AVE
Saint Paul, MN
(44.940435, -93.112334)",1
PG 15-009929-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$7500.00,,ROBERT WYLLIE WYLLIE PLUMBING,"286 FORBES AVE
Saint Paul, MN
(44.940435, -93.112159)",1
W 15-009254-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$1300.00,,CENTRAIRE HEATING & AIR CONDITIONING INC,"272 MORTON ST W
Saint Paul, MN
(44.925638, -93.09698)",1
W 15-009545-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$2722.00,,TED FERRARA STANDARD HEATING & AIR CONDITIONING INC,"1453 MINNEHAHA AVE W
Saint Paul, MN
(44.962879, -93.161793)",1
W 15-010060-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$3198.00,,WALTER BONFE BONFES PLBG & HTG INC,"866 WATSON AVE
Saint Paul, MN
(44.924144, -93.136803)",1
W 15-009318-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential Replace,"THURSDAY, FEBRUARY 12, 2015",$12500.00,,Russell Christensen,"1678 IGLEHART AVE
Saint Paul, MN
(44.949327, -93.171601)",1
W 15-009883-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Commercial Replace,"THURSDAY, FEBRUARY 12, 2015",$9000.00,,Mr Eric Mattren APOLLO HEATING AND VENTILATING,"106 ARLINGTON AVE E - Action Auto Parts
Saint Paul, MN
(44.984619, -93.096102)",1
B 15-009792-REM,Building Permit,Active/Issued,Institutional,Remodel,"THURSDAY, FEBRUARY 19, 2015",$45000.00,$45000.00,RICH WINKLE / RAK CONSTRUCTION INC,"121 7TH PLACE E - Metro Square Bldg
Saint Paul, MN
",1
B 15-011606-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"THURSDAY, FEBRUARY 19, 2015",$1504.00,$1504.00,CREW2 INC,"2093 FREMONT AVE
Saint Paul, MN
(44.957641, -93.012177)",1
B 15-011826-RPR,Building Permit,Active/Issued,Accessory Structure,Repair,"THURSDAY, FEBRUARY 19, 2015",$2000.00,$2000.00,GROVER DIMOND,"2332 BOURNE AVE
Saint Paul, MN
(44.980285, -93.198968)",1
B 14-356141-REM,Building Permit,Inspected,Commercial,Remodel,"THURSDAY, FEBRUARY 19, 2015",$168000.00,$168000.00,BEELINE CONSTRUCTION COMPANY INC,"261 5TH ST E - WALL STREET BLDG
Saint Paul, MN
",1
B 15-009234-RPR,Building Permit,Inspected,Single Family Dwelling,Repair,"THURSDAY, FEBRUARY 19, 2015",$35000.00,$35000.00,NEW CONCEPT CONTRACTORS LLC,"220 WINONA ST E
Saint Paul, MN
(44.921319, -93.076012)",1
B 15-011822-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"THURSDAY, FEBRUARY 19, 2015",$2500.00,$2500.00,Mike Wehmhoff GREENLINE HOME SERVICES LLC,"1026 CENTRAL AVE W
Saint Paul, MN
(44.953062, -93.143455)",1
BS 15-007331-TMP,Billboard / Sign,Active/Issued,Temporary Sign,Commercial New,"THURSDAY, FEBRUARY 19, 2015",$350.00,,HILTON DISPLAYS,"2078 FORD PKWY - STARBUCK'S
Saint Paul, MN
(44.917876, -93.188782)",1
BS 15-011266-SGN,Billboard / Sign,Active/Issued,Signs,Commercial Replace,"THURSDAY, FEBRUARY 19, 2015",$1200.00,,JEFF KNUTSON TWIN CITIES SIGN INSTALLATIONS LLC,"1887 RANDOLPH AVE
Saint Paul, MN
(44.927041, -93.180085)",1
E 15-010599-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$1500.00,,PHIL KRINKIE THE SNELLING CO INC,"1472 DANFORTH ST
Saint Paul, MN
(44.985445, -93.124927)",1
E 15-011530-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$720.00,,"True Blue Electric, Inc.","1459 THOMAS AVE
Saint Paul, MN
(44.959255, -93.16173)",1
E 15-011718-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Commercial Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$4000.00,,Mr Daniel Balling Killmer Electric Co Inc,"317 MARSHALL AVE - St Paul College
Saint Paul, MN
",1
E 15-011722-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$200.00,,Spark Electric Co,"408 TOTEM ROAD
Saint Paul, MN
(44.928753, -93.015032)",1
E 15-011729-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$300.00,,Spark Electric Co,"1677 HEWITT AVE
Saint Paul, MN
(44.966423, -93.171194)",1
E 15-011792-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Commercial Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$2500.00,,CHARLES GOEBEL CITY OF ST PAUL PARKS & REC,"1079 IGLEHART AVE - Oxford Pool / Jimmy Lee Rec.
Saint Paul, MN
(44.949416, -93.144818)",1
E 15-011829-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$2000.00,,Peg A Michels,"2332 BOURNE AVE
Saint Paul, MN
(44.980285, -93.198968)",1
E 15-011535-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$21000.00,,Mr Ralph Parish LIBERTY ELECTRICAL SOLUTIONS LLC,"555 MOUNT CURVE BLVD
Saint Paul, MN
(44.924719, -93.195078)",1
E 15-011551-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$1.00,,Xavier Haro HARO ELECTRIC SOLUTIONS INC,"720 LARPENTEUR AVE W
Saint Paul, MN
(44.991785, -93.130231)",1
E 15-011568-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential New,"THURSDAY, FEBRUARY 19, 2015",$5500.00,,DRIVEN ELECTRIC INC,"834 GOODRICH AVE
Saint Paul, MN
(44.937806, -93.135278)",1
E 15-011636-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$5000.00,,Nilles Builders Inc,"286 FORBES AVE
Saint Paul, MN
(44.940435, -93.112159)",1
E 15-011788-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$10000.00,,VETTERS ELECTRIC INC,"2153 IGLEHART AVE
Saint Paul, MN
(44.949635, -93.191331)",1
FN 15-009922-FEN,Fence Permit,Active/Issued,Fence Permit,Residential,"THURSDAY, FEBRUARY 19, 2015",$3300.00,,MIDWEST FENCE & MFG CO,"1862 SELBY AVE
Saint Paul, MN
(44.946152, -93.179164)",1
M 15-008117-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$3400.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"729 MARYLAND AVE W
Saint Paul, MN
(44.97739, -93.130879)",1
M 15-009588-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$12048.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"677 DELAWARE AVE
Saint Paul, MN
(44.925416, -93.1059)",1
M 15-009590-STM,Mechanical Permit,Active/Issued,Steam or Hot Water,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$12048.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"677 DELAWARE AVE
Saint Paul, MN
(44.925416, -93.1059)",1
M 15-010596-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$1500.00,,PHIL KRINKIE THE SNELLING CO INC,"1472 DANFORTH ST
Saint Paul, MN
(44.985445, -93.124927)",1
M 15-010736-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$3000.00,,DAVID PEARL SCHWANTES HEATING & AIR INC,"1350 DANFORTH ST
Saint Paul, MN
(44.981879, -93.12501)",1
M 15-010773-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$3284.00,,WADE SEDGWICK PRONTO HEATING & AIR CONDITIONING INC,"1017 CHATSWORTH ST N
Saint Paul, MN
(44.97178, -93.141532)",1
M 15-010937-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$5509.00,,TED FERRARA STANDARD HEATING & AIR CONDITIONING INC,"2312 GORDON AVE
Saint Paul, MN
(44.977677, -93.198296)",1
M 15-010938-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$3000.00,,TED FERRARA STANDARD HEATING & AIR CONDITIONING INC,"2312 GORDON AVE
Saint Paul, MN
(44.977677, -93.198296)",1
M 15-009845-REF,Mechanical Permit,Inspected,Refrigeration,Commercial Repair/Alter,"THURSDAY, FEBRUARY 19, 2015",$320000.00,,MARK ANDERSON METROPOLITAN MECH CONTR INC,"1927 CASE AVE
Saint Paul, MN
(44.970315, -93.019163)",1
M 15-010750-STM,Mechanical Permit,Inspected,Steam or Hot Water,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$5123.00,,JOSHUA SAVAGE UPTOWN HEATING & COOLING,"1285 HAMLINE AVE N
Saint Paul, MN
(44.979905, -93.156747)",1
M 15-010767-REF,Mechanical Permit,Inspected,Refrigeration,Residential New,"THURSDAY, FEBRUARY 19, 2015",$18999.00,,JOSHUA SAVAGE UPTOWN HEATING & COOLING,"968 LARPENTEUR AVE W
Saint Paul, MN
(44.991932, -93.141452)",1
PG 15-008116-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$1133.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"729 MARYLAND AVE W
Saint Paul, MN
(44.97739, -93.130879)",1
PG 15-011088-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$2300.00,,JOSH MCQUIRE BENJAMIN FRANKLIN PLUMBING,"295 MACALESTER ST
Saint Paul, MN
(44.932606, -93.169538)",1
PG 15-011313-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$9000.00,,JAMES ALBERTS A J ALBERTS PLUMBING INC,"1800 GRAHAM AVE - GATEWAY VILLAGE BLDG D
Saint Paul, MN
",1
PG 15-007036-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$300.00,,TERRY NELSON TERRY NELSON PLUMBING INC,"2175 HENDON AVE
Saint Paul, MN
(44.985798, -93.192089)",1
PG 15-011217-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$14000.00,,MARK JOHNSON JOHNSON PLBG & HTG CO,"1106 SUMMIT AVE
Saint Paul, MN
(44.941243, -93.147154)",1
PG 15-011319-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Addition,"THURSDAY, FEBRUARY 19, 2015",$4500.00,,MARK MCCOLLUM MARK MCCOLLUM PLUMBING,"1234 ELEANOR AVE
Saint Paul, MN
(44.920649, -93.152409)",1
PG 15-011447-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Repair,"THURSDAY, FEBRUARY 19, 2015",$10084.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"722 5TH ST E
Saint Paul, MN
(44.95724, -93.069469)",1
PG 15-011453-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Alter,"THURSDAY, FEBRUARY 19, 2015",$3000.00,,"JACOB REYNOLDS RESOURCE PLUMBING, HEATING AND AIR","403 TOTEM ROAD
Saint Paul, MN
(44.928999, -93.014026)",1
W 15-004723-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$200.00,,Lawrence D Land,"87 BATTLE CREEK ROAD
Saint Paul, MN
(44.938483, -93.020041)",1
W 15-009291-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$2723.00,,WALTER BONFE BONFES PLBG & HTG INC,"1178 ST PAUL AVE
Saint Paul, MN
(44.906707, -93.180248)",1
W 15-009504-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$2473.00,,MAYNARD JOHNSON SUNBURST HTG & A/C INC,"1891 DOROTHEA AVE
Saint Paul, MN
(44.905692, -93.180365)",1
W 15-009816-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$2000.00,,Mr Timothy McQuillan KATH HEATING & A/C,"1989 JAMES AVE
Saint Paul, MN
(44.927967, -93.184301)",1
W 15-010598-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$1500.00,,PHIL KRINKIE THE SNELLING CO INC,"1472 DANFORTH ST
Saint Paul, MN
(44.985445, -93.124927)",1
W 15-010865-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$3241.00,,WALTER BONFE BONFES PLBG & HTG INC,"406 SUPERIOR ST
Saint Paul, MN
(44.935972, -93.117125)",1
W 15-010951-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"THURSDAY, FEBRUARY 19, 2015",$2600.00,,CHRIS KALLSTROM RESIDENTIAL HEATING & AIR INC,"1831 COLVIN AVE
Saint Paul, MN
(44.907823, -93.176842)",1
